,id,mean_dist_day,mean_over_speed_perc,Gender
0,3423311935,71.24,28,Female
1,3423313212,52.53,25,Female
2,3423313724,64.54,27,Male
3,3423311373,55.69,22,Male
4,3423310999,54.58,25,Male
5,3423313857,41.91,10,Female
6,3423312432,58.64,20,Female
7,3423311434,52.02,8,Female
8,3423311328,31.25,34,Male
9,3423312488,44.31,19,Female
10,3423311254,49.35,40,Male
11,3423312943,58.07,45,Female
12,3423312536,44.22,22,Male
13,3423311542,55.73,19,Female
14,3423312176,46.63,43,Female
15,3423314176,52.97,32,Male
16,3423314202,46.25,35,Male
17,3423311346,51.55,27,Female
18,3423310666,57.05,26,Male
19,3423313527,58.45,30,Male
20,3423312182,43.42,23,Male
21,3423313590,55.68,37,Female
22,3423312268,55.15,18,Female
23,3423314255,43.84,22,Male
24,3423311976,59.26,32,Female
25,3423312669,37.14,41,Female
26,3423310697,64.3,29,Male
27,3423312113,45.75,16,Female
28,3423313343,45.97,23,Male
29,3423311431,56.04,39,Male
30,3423310755,33.64,45,Female
31,3423311821,41.67,33,Male
32,3423314359,50.68,39,Female
33,3423313106,54.22,35,Female
34,3423310754,56.2,29,Male
35,3423310524,46.16,41,Female
36,3423311780,50.22,24,Male
37,3423312156,49.66,33,Male
38,3423312916,38.61,37,Male
39,3423310588,55.28,36,Female
40,3423312995,57.87,41,Female
41,3423313389,61.69,12,Female
42,3423311369,37.41,21,Male
43,3423311408,53.83,32,Female
44,3423311598,62.98,22,Female
45,3423312047,46.97,13,Male
46,3423312322,58.03,24,Male
47,3423313247,59.87,36,Female
48,3423310944,81.34,31,Male
49,3423312404,48.56,26,Female
50,3423313738,17.66,23,Male
51,3423311461,46.01,21,Male
52,3423313866,45.34,26,Female
53,3423312074,39.64,31,Female
54,3423312444,51.22,36,Male
55,3423311834,36.21,31,Male
56,3423311527,47.32,55,Male
57,3423310476,54.87,27,Female
58,3423310548,58.97,6,Male
59,3423311011,57.3,42,Female
60,3423310633,59.94,32,Female
61,3423310595,61.72,25,Male
62,3423312757,53.19,23,Female
63,3423313776,35.13,38,Female
64,3423312067,48.47,20,Male
65,3423312235,51.17,43,Female
66,3423310893,42.14,39,Female
67,3423314121,54.31,35,Female
68,3423313750,48.93,32,Male
69,3423312776,53.51,44,Male
70,3423312927,51.72,24,Female
71,3423310765,49.86,10,Male
72,3423311457,49.2,41,Female
73,3423310678,60.2,39,Male
74,3423312564,54.06,20,Male
75,3423313058,72.91,30,Female
76,3423310803,61.92,40,Female
77,3423312166,44.2,24,Female
78,3423312608,60.75,39,Male
79,3423310646,68.36,37,Female
80,3423314440,56.39,20,Female
81,3423312301,38.19,15,Female
82,3423311400,66.19,27,Male
83,3423313288,58.2,17,Female
84,3423314357,47.55,22,Female
85,3423311015,37.62,16,Male
86,3423312270,17.81,26,Female
87,3423313457,31.25,29,Female
88,3423311768,61.0,41,Male
89,3423314289,40.98,33,Female
90,3423310618,53.69,24,Female
91,3423311628,51.46,9,Male
92,3423313173,64.57,29,Male
93,3423310552,53.79,23,Female
94,3423314153,64.28,34,Female
95,3423313814,38.41,24,Male
96,3423312466,58.89,42,Female
97,3423314103,44.17,33,Male
